<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,5,20200103,100500,1554.7200000,1564.5600000,1553.8000000,1564.2600000,24840996
RTSI,5,20200103,101000,1564.2700000,1565.6500000,1563.6400000,1565.0000000,14968134
RTSI,5,20200103,101500,1565.0700000,1565.8900000,1562.7500000,1563.2100000,10461971
RTSI,5,20200103,102000,1563.2500000,1563.3600000,1560.5400000,1560.7600000,8055101
RTSI,5,20200103,102500,1560.8700000,1561.9100000,1560.6600000,1561.1700000,6401348
RTSI,5,20200103,103000,1561.2000000,1561.9900000,1561.0700000,1561.5100000,5844342
RTSI,5,20200103,103500,1561.5200000,1561.7200000,1559.7300000,1559.9900000,5502844
RTSI,5,20200103,104000,1560.0000000,1560.7300000,1559.8100000,1560.6500000,4240232
RTSI,5,20200103,104500,1560.7100000,1561.1800000,1560.0300000,1561.1700000,3545285
RTSI,5,20200103,105000,1561.1800000,1561.2300000,1559.3700000,1559.3700000,5187660
RTSI,5,20200103,105500,1559.4000000,1559.4000000,1556.8000000,1557.1100000,5083836
RTSI,5,20200103,110000,1557.1100000,1557.1200000,1555.2200000,1555.4200000,6852933
RTSI,5,20200103,110500,1555.4300000,1558.3800000,1554.9400000,1557.8800000,11340996
RTSI,5,20200103,111000,1557.8800000,1561.6000000,1557.6100000,1561.4500000,16495098
RTSI,5,20200103,111500,1561.5100000,1562.9000000,1560.8700000,1562.5300000,9292268
RTSI,5,20200103,112000,1562.5500000,1563.5300000,1561.0000000,1563.0300000,12969333
RTSI,5,20200103,112500,1563.0800000,1563.5400000,1562.0500000,1562.3400000,4981300
RTSI,5,20200103,113000,1562.3300000,1564.8100000,1562.0600000,1564.8100000,7135193
RTSI,5,20200103,113500,1564.7800000,1565.5800000,1563.8400000,1565.5700000,7920625
RTSI,5,20200103,114000,1565.6800000,1566.7600000,1565.5500000,1566.2100000,12293926
RTSI,5,20200103,114500,1566.2200000,1567.1700000,1565.1900000,1565.2000000,7300493
RTSI,5,20200103,115000,1565.1800000,1565.7700000,1564.9200000,1565.7300000,6314387
RTSI,5,20200103,115500,1565.8000000,1565.9600000,1565.2800000,1565.5800000,8988399
RTSI,5,20200103,120000,1565.6100000,1567.4900000,1565.5200000,1567.4900000,7635341
RTSI,5,20200103,120500,1567.5100000,1567.8600000,1565.1900000,1565.5300000,6336470
RTSI,5,20200103,121000,1565.5200000,1565.8900000,1564.5900000,1564.5900000,6294413
RTSI,5,20200103,121500,1564.6200000,1564.8800000,1564.0500000,1564.2700000,4523353
RTSI,5,20200103,122000,1564.2500000,1565.1800000,1563.8900000,1565.1600000,7407334
RTSI,5,20200103,122500,1565.2300000,1566.1800000,1564.6400000,1565.8600000,6276732
RTSI,5,20200103,123000,1565.8800000,1566.3000000,1565.6100000,1566.0200000,5272204
RTSI,5,20200103,123500,1566.0300000,1566.3200000,1565.0700000,1565.3500000,5732747
RTSI,5,20200103,124000,1565.3700000,1566.8400000,1565.3700000,1566.4500000,7932113
RTSI,5,20200103,124500,1566.3900000,1566.5900000,1565.4800000,1565.6300000,4285027
RTSI,5,20200103,125000,1565.6500000,1565.6900000,1564.9100000,1565.4000000,6100179
RTSI,5,20200103,125500,1565.4200000,1565.6600000,1564.1500000,1564.1500000,5054086
RTSI,5,20200103,130000,1564.2100000,1565.0500000,1564.0100000,1564.4400000,6254661
RTSI,5,20200103,130500,1564.3700000,1566.5700000,1564.3700000,1566.0700000,8002202
RTSI,5,20200103,131000,1566.0800000,1566.1900000,1565.7000000,1566.0800000,3881291
RTSI,5,20200103,131500,1566.0800000,1566.1400000,1565.1400000,1565.5700000,4062289
RTSI,5,20200103,132000,1565.4500000,1566.0900000,1564.5500000,1565.9000000,8180507
RTSI,5,20200103,132500,1565.8800000,1566.4400000,1565.5100000,1566.4300000,3982701
RTSI,5,20200103,133000,1566.4400000,1566.8400000,1565.8300000,1566.7500000,3993408
RTSI,5,20200103,133500,1566.7600000,1566.7800000,1565.6400000,1565.6400000,3065170
RTSI,5,20200103,134000,1565.6500000,1566.2600000,1565.3800000,1566.2200000,5775323
RTSI,5,20200103,134500,1566.2200000,1566.3200000,1565.8300000,1565.9600000,3015262
RTSI,5,20200103,135000,1565.9600000,1566.3000000,1565.7500000,1566.1100000,5238085
RTSI,5,20200103,135500,1566.0900000,1566.4200000,1565.5900000,1566.0300000,6074159
RTSI,5,20200103,140000,1566.0300000,1566.2400000,1565.4500000,1566.2400000,4830523
RTSI,5,20200103,140500,1566.2200000,1566.5100000,1566.0000000,1566.0400000,2382155
RTSI,5,20200103,141000,1566.0200000,1566.6500000,1565.9100000,1566.3200000,3568948
RTSI,5,20200103,141500,1566.3300000,1566.4600000,1565.7300000,1565.8000000,3481380
RTSI,5,20200103,142000,1565.8000000,1565.8000000,1564.0800000,1564.2900000,9897901
RTSI,5,20200103,142500,1564.2900000,1564.6300000,1564.2200000,1564.2200000,4777736
RTSI,5,20200103,143000,1564.2300000,1564.9400000,1564.1400000,1564.3500000,4689790
RTSI,5,20200103,143500,1564.3500000,1564.3500000,1563.2000000,1563.3800000,4878223
RTSI,5,20200103,144000,1563.3800000,1563.7000000,1563.2000000,1563.5400000,3273401
RTSI,5,20200103,144500,1563.5300000,1563.6600000,1562.3700000,1562.4300000,9949618
RTSI,5,20200103,145000,1562.4400000,1562.9900000,1562.2900000,1562.7000000,5105120
RTSI,5,20200103,145500,1562.6700000,1563.0900000,1562.4100000,1562.4100000,3559285
RTSI,5,20200103,150000,1562.4400000,1562.8400000,1562.3000000,1562.5900000,5863207
