<!2 filez
TICKEg>,<PEf>,<DATE>4<TIME>,<OPEN>,<HIGH>,<LOW>,<CgLOSE>,dfve<VOL>
SPFB.RTS,1,20201201,100100,127880.0000000,128900.0000000,127880.0000000,128630.0000000,7120
SPFB.RTS,1,20201201,100200,128610.0000000,128850.0000000,1285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0000000,128720.0000000,5241
PFB.RTS,1,20201201,100300,128720.0000000,128740.0000000,128530.0000000,128650.0000000,3807
SPFB.RTS,1,20201201,100400,128650.0000000,128690.0000000,128540.0000000,128560.0000000,1420
SPFB.RTS,1,20201201,100500,128560.0000000,128710.0000000,128540.0000000,128580.0000000,1993
SPFB.RTS,1,20201201,100600,128570.0000000,128670.0000000,128570.0000000,128620.0000000,1265
SPFB.RTS,1,20201201,100700,128610.0000000,128750.0000000,128610.0000000,128720.0000000,1500
SPFB.RTS,1,20201201,100800,128720.0000000,128720.0000000,128420.0000000,128430.0000000,3464
SPFB.RTS,1,20201201,100900,128430.0000000,128630.0000000,128380.0000000,128630.0000000,2215
SPFB.RTS,1,20201201,101000,128640.0000000,128640.0000000,128500.0000000,128560.0000000,981
SPFB.RTS,1,20201201,101100,128570.0000000,128580.0000000,128290.0000000,128440.0000000,3260
SPFB.RTS,1,20201201,101200,128450.0000000,128470.0000000,128310.0000000,128370.0000000,1267
SPFB.RTS,1,20201201,101300,128380.0000000,128550.0000000,128340.0000000,128530.0000000,1551
SPFB.RTS,1,20201201,101400,128530.0000000,128540.0000000,128220.0000000,128330.0000000,2581
SPFB.RTS,1,20201201,101500,128320.0000000,128370.0000000,128260.0000000,128280.0000000,948
SPFB.RTS,1,20201201,101600,128280.0000000,128360.0000000,128270.0000000,128320.0000000,843
SPFB.RTS,1,20201201,101700,128320.0000000,128450.0000000,128310.0000000,128430.0000000,713
SPFB.RTS,1,20201201,101800,128430.0000000,128430.0000000,128320.0000000,128410.0000000,599
SPFB.RTS,1,20201201,101900,128410.0000000,128500.0000000,128390.0000000,128480.0000000,1073
SPFB.RTS,1,20201201,102000,128460.0000000,128500.0000000,128450.0000000,128480.0000000,520
SPFB.RTS,1,20201201,102100,128470.0000000,128520.0000000,128450.0000000,128470.0000000,827
SPFB.RTS,1,20201201,102200,128480.0000000,128510.0000000,128360.0000000,128460.0000000,1161
SPFB.RTS,1,20201201,102300,128460.0000000,128590.0000000,128460.0000000,128570.0000000,2474
SPFB.RTS,1,20201201,102400,128580.0000000,128640.0000000,128530.0000000,128610.0000000,1186
SPFB.RTS,1,20201201,102500,128620.0000000,128630.0000000,128520.0000000,128530.0000000,718
SPFB.RTS,1,20201201,102600,128550.0000000,128570.0000000,128470.0000000,128490.0000000,551
SPFB.RTS,1,20201201,102700,128480.0000000,128540.0000000,128420.0000000,128520.0000000,814
SPFB.RTS,1,20201201,102800,128530.0000000,128540.0000000,128480.0000000,128510.0000000,265
SPFB.RTS,1,20201201,102900,128500.0000000,128610.0000000,128500.0000000,128580.0000000,929
SPFB.RTS,1,20201201,103000,128580.0000000,128650.0000000,128580.0000000,128650.0000000,632
SPFB.RTS,1,20201201,103100,128650.0000000,128680.0000000,128570.0000000,128590.0000000,978
SPFB.RTS,1,20201201,103200,128590.0000000,128630.0000000,128530.0000000,128540.0000000,640
SPFB.RTS,1,20201201,103300,128540.0000000,128570.0000000,128480.0000000,128500.0000000,785
SPFB.RTS,1,20201201,103400,128520.0000000,128520.0000000,128430.0000000,128450.0000000,901
SPFB.RTS,1,20201201,103500,128450.0000000,128490.0000000,128450.0000000,128460.0000000,324
SPFB.RTS,1,20201201,103600,128460.0000000,128510.0000000,128370.0000000,128390.0000000,1503
SPFB.RTS,1,20201201,103700,128380.0000000,128430.0000000,128330.0000000,128430.0000000,690
SPFB.RTS,1,20201201,103800,128430.0000000,128470.0000000,128390.0000000,128430.0000000,438
SPFB.RTS,1,20201201,103900,128430.0000000,128440.0000000,128380.0000000,128420.0000000,236
SPFB.RTS,1,20201201,104000,128410.0000000,128460.0000000,128380.0000000,128400.0000000,584
SPFB.RTS,1,20201201,104100,128380.0000000,128470.0000000,128380.0000000,128450.0000000,460
SPFB.RTS,1,20201201,104200,128450.0000000,128550.0000000,128440.0000000,128510.0000000,738
SPFB.RTS,1,20201201,104300,128510.0000000,128530.0000000,128470.0000000,128520.0000000,462
SPFB.RTS,1,20201201,104400,128510.0000000,128510.0000000,128450.0000000,128480.0000000,248
SPFB.RTS,1,20201201,104500,128480.0000000,128530.0000000,128460.0000000,128480.0000000,215
SPFB.RTS,1,20201201,104600,128480.0000000,128520.0000000,128400.0000000,128520.0000000,753
SPFB.RTS,1,20201201,104700,128520.0000000,128550.0000000,128470.0000000,128480.0000000,471
SPFB.RTS,1,20201201,104800,128470.0000000,128650.0000000,128460.0000000,128640.0000000,1042
SPFB.RTS,1,20201201,104900,128640.0000000,128670.0000000,128600.0000000,128610.0000000,724
SPFB.RTS,1,20201201,105000,128620.0000000,128720.0000000,128600.0000000,128680.0000000,1359
SPFB.RTS,1,20201201,105100,128670.0000000,128710.0000000,128630.0000000,128640.0000000,748
SPFB.RTS,1,20201201,105200,128640.0000000,128780.0000000,128640.0000000,128750.0000000,1670
SPFB.RTS,1,20201201,105300,128760.0000000,128780.0000000,128710.0000000,128710.0000000,441
SPFB.RTS,1,20201201,105400,128710.0000000,128750.0000000,128650.0000000,128700.0000000,823
SPFB.RTS,1,20201201,105500,128700.0000000,128720.0000000,128630.0000000,128660.0000000,566
SPFB.RTS,1,20201201,105600,128660.0000000,128720.0000000,128630.0000000,128640.0000000,835
SPFB.RTS,1,20201201,105700,128640.0000000,128720.0000000,128600.0000000,128630.0000000,600
SPFB.RTS,1,20201201,105800,128630.0000000,128660.0000000,128620.0000000,128640.0000000,342
SPFB.RTS,1,20201201,105900,128640.0000000,128700.0000000,128630.0000000,128660.0000000,339
SPFB.RTS,1,20201201,110000,128650.0000000,128720.0000000,128620.0000000,128720.0000000,631
SPFB.RTS,1,20201201,110100,128700.0000000,128820.0000000,128610.0000000,128720.0000000,3690
SPFB.RTS,1,20201201,110200,128720.0000000,128730.0000000,128540.0000000,128560.0000000,2446
SPFB.RTS,1,20201201,110300,128560.0000000,128730.0000000,128530.0000000,128700.0000000,2158
SPFB.RTS,1,20201201,110400,128720.0000000,128820.0000000,128710.0000000,128810.0000000,1771
SPFB.RTS,1,20201201,110500,128820.0000000,128870.0000000,128730.0000000,128850.0000000,2491
SPFB.RTS,1,20201201,110600,128840.0000000,128870.0000000,128730.0000000,128830.0000000,1848
SPFB.RTS,1,20201201,110700,128840.0000000,128880.0000000,128790.0000000,128790.0000000,1120
SPFB.RTS,1,20201201,110800,128800.0000000,128820.0000000,128680.0000000,128730.0000000,1443
SPFB.RTS,1,20201201,110900,128730.0000000,128760.0000000,128700.0000000,128730.0000000,580
SPFB.RTS,1,20201201,111000,128740.0000000,128860.0000000,128700.0000000,128710.0000000,1552
SPFB.RTS,1,20201201,111100,128720.0000000,128830.0000000,128720.0000000,128810.0000000,1306
SPFB.RTS,1,20201201,111200,128830.0000000,128840.0000000,128720.0000000,128810.0000000,1038
SPFB.RTS,1,20201201,111300,128810.0000000,128820.0000000,128740.0000000,128770.0000000,406
SPFB.RTS,1,20201201,111400,128770.0000000,128780.0000000,128660.0000000,128690.0000000,1615
SPFB.RTS,1,20201201,111500,128670.0000000,128680.0000000,128490.0000000,128530.0000000,2763
SPFB.RTS,1,20201201,111600,128520.0000000,128640.0000000,128490.0000000,128520.0000000,1944
SPFB.RTS,1,20201201,111700,128530.0000000,128650.0000000,128520.0000000,128630.0000000,1042
SPFB.RTS,1,20201201,111800,128620.0000000,128810.0000000,128620.0000000,128780.0000000,1592
SPFB.RTS,1,20201201,111900,128780.0000000,128880.0000000,128770.0000000,128830.0000000,1862
SPFB.RTS,1,20201201,112000,128840.0000000,128940.0000000,128840.0000000,128920.0000000,3174
SPFB.RTS,1,20201201,112100,128920.0000000,128970.0000000,128850.0000000,128860.0000000,2062
SPFB.RTS,1,20201201,112200,128870.0000000,128950.0000000,128850.0000000,128900.0000000,1162
SPFB.RTS,1,20201201,112300,128900.0000000,128930.0000000,128830.0000000,128930.0000000,1039
SPFB.RTS,1,20201201,112400,128940.0000000,128990.0000000,128860.0000000,128890.0000000,2099
SPFB.RTS,1,20201201,112500,128900.0000000,129190.0000000,128890.0000000,129160.0000000,6717
SPFB.RTS,1,20201201,112600,129160.0000000,129250.0000000,129040.0000000,129110.0000000,3263
SPFB.RTS,1,20201201,112700,129110.0000000,129170.0000000,129040.0000000,129130.0000000,1675
SPFB.RTS,1,20201201,112800,129140.0000000,129190.0000000,129100.0000000,129140.0000000,1021
SPFB.RTS,1,20201201,112900,129150.0000000,129200.0000000,129100.0000000,129170.0000000,1898
SPFB.RTS,1,20201201,113000,129180.0000000,129240.0000000,129150.0000000,129210.0000000,1461
SPFB.RTS,1,20201201,113100,129210.0000000,129370.0000000,129170.0000000,129350.0000000,3281
SPFB.RTS,1,20201201,113200,129340.0000000,129400.0000000,129320.0000000,129350.0000000,2359
SPFB.RTS,1,20201201,113300,129350.0000000,129420.0000000,129280.0000000,129360.0000000,2699
SPFB.RTS,1,20201201,113400,129360.0000000,129430.0000000,129350.0000000,129420.0000000,921
SPFB.RTS,1,20201201,113500,129420.0000000,129430.0000000,129330.0000000,129360.0000000,1599
SPFB.RTS,1,20201201,113600,129360.0000000,129400.0000000,129320.0000000,129370.0000000,1414
SPFB.RTS,1,20201201,113700,129370.0000000,129430.0000000,129350.0000000,129380.0000000,1203
SPFB.RTS,1,20201201,113800,129390.0000000,129410.0000000,129290.0000000,129330.0000000,1025
SPFB.RTS,1,20201201,113900,129340.0000000,129450.0000000,129340.0000000,129360.0000000,1595
SPFB.RTS,1,20201201,114000,129360.0000000,129420.0000000,129340.0000000,129350.0000000,731
SPFB.RTS,1,20201201,114100,129350.0000000,129380.0000000,129260.0000000,129300.0000000,1374
SPFB.RTS,1,20201201,114200,129300.0000000,129380.0000000,129270.0000000,129340.0000000,1112
SPFB.RTS,1,20201201,114300,129340.0000000,129380.0000000,129270.0000000,129320.0000000,798
SPFB.RTS,1,20201201,114400,129330.0000000,129370.0000000,129310.0000000,129340.0000000,413
SPFB.RTS,1,20201201,114500,129340.0000000,129420.0000000,129330.0000000,129340.0000000,980
SPFB.RTS,1,20201201,114600,129350.0000000,129480.0000000,129330.0000000,129380.0000000,1498
SPFB.RTS,1,20201201,114700,129380.0000000,129420.0000000,129290.0000000,129310.0000000,1299
SPFB.RTS,1,20201201,114800,129320.0000000,129370.0000000,129290.0000000,129300.0000000,875
SPFB.RTS,1,20201201,114900,129300.0000000,129330.0000000,129260.0000000,129320.0000000,628
SPFB.RTS,1,20201201,115000,129330.0000000,129350.0000000,129290.0000000,129310.0000000,381
SPFB.RTS,1,20201201,115100,129310.0000000,129410.0000000,129310.0000000,129320.0000000,751
SPFB.RTS,1,20201201,115200,129320.0000000,129370.0000000,129300.0000000,129340.0000000,680
SPFB.RTS,1,20201201,115300,129330.0000000,129350.0000000,129300.0000000,129340.0000000,337
SPFB.RTS,1,20201201,115400,129340.0000000,129370.0000000,129210.0000000,129230.0000000,1504
SPFB.RTS,1,20201201,115500,129230.0000000,129310.0000000,129230.0000000,129230.0000000,441
SPFB.RTS,1,20201201,115600,129220.0000000,129330.0000000,129210.0000000,129220.0000000,524
SPFB.RTS,1,20201201,115700,129220.0000000,129260.0000000,129200.0000000,129230.0000000,681
SPFB.RTS,1,20201201,115800,129230.0000000,129250.0000000,129190.0000000,129240.0000000,470
SPFB.RTS,1,20201201,115900,129240.0000000,129350.0000000,129230.0000000,129340.0000000,659
